dir,track,h,search,queue,algo,dom,cov
lazylifo,ipc2011,cg1,lazy,LIFO,h,elevators,9
lazylifo,ipc2011,cg1,lazy,LIFO,h,woodworking,1
lazylifo,ipc2011,cg1,lazy,LIFO,h,barman,0
lazylifo,ipc2011,cg1,lazy,LIFO,h,parcprinter,11
lazylifo,ipc2011,cg1,lazy,LIFO,h,parking,3
lazylifo,ipc2011,cg1,lazy,LIFO,h,floortile,0
lazylifo,ipc2011,cg1,lazy,LIFO,h,scanalyzer,20
lazylifo,ipc2011,cg1,lazy,LIFO,h,sokoban,17
lazylifo,ipc2011,cg1,lazy,LIFO,h,openstacks,0
lazylifo,ipc2014,cg1,lazy,LIFO,h,barman,0
lazylifo,ipc2014,cg1,lazy,LIFO,h,citycar,0
lazylifo,ipc2014,cg1,lazy,LIFO,h,parking,0
lazylifo,ipc2014,cg1,lazy,LIFO,h,childsnack,1
lazylifo,ipc2014,cg1,lazy,LIFO,h,floortile,0
lazylifo,ipc2014,cg1,lazy,LIFO,h,tetris,9
lazylifo,ipc2014,cg1,lazy,LIFO,h,cavediving,7
lazylifo,ipc2014,cg1,lazy,LIFO,h,transport,4
lazylifo,ipc2014,cg1,lazy,LIFO,h,thoughtful,6
lazylifo,ipc2014,cg1,lazy,LIFO,h,maintenance,0
lazylifo,ipc2014,cg1,lazy,LIFO,h,openstacks,0
lazylifo,ipc2014,cg1,lazy,LIFO,h,hiking,17
lazylifo,ipc2014,cg1,lazy,LIFO,h,visitall,0
lazylifo,ipc2014,cg1,lazy,LIFO,h,ged,0
lazylifo,ipc2011,ff1,lazy,LIFO,h,nomystery,5
lazylifo,ipc2011,ff1,lazy,LIFO,h,tidybot,14
lazylifo,ipc2011,ff1,lazy,LIFO,h,pegsol,20
lazylifo,ipc2011,ff1,lazy,LIFO,h,visitall,5
lazylifo,ipc2011,ff1,lazy,LIFO,h,transport,0
lazylifo,ipc2011,ff1,lazy,LIFO,h,elevators,8
lazylifo,ipc2011,ff1,lazy,LIFO,h,woodworking,2
lazylifo,ipc2011,ff1,lazy,LIFO,h,barman,2
lazylifo,ipc2011,ff1,lazy,LIFO,h,parcprinter,11
lazylifo,ipc2011,ff1,lazy,LIFO,h,parking,17
lazylifo,ipc2011,ff1,lazy,LIFO,h,floortile,4
lazylifo,ipc2011,ff1,lazy,LIFO,h,scanalyzer,16
lazylifo,ipc2011,ff1,lazy,LIFO,h,sokoban,19
lazylifo,ipc2011,ff1,lazy,LIFO,h,openstacks,0
lazylifo,ipc2014,ff1,lazy,LIFO,h,barman,0
lazylifo,ipc2014,ff1,lazy,LIFO,h,citycar,0
lazylifo,ipc2014,ff1,lazy,LIFO,h,parking,8
lazylifo,ipc2014,ff1,lazy,LIFO,h,childsnack,0
lazylifo,ipc2014,ff1,lazy,LIFO,h,floortile,2
lazylifo,ipc2014,ff1,lazy,LIFO,h,tetris,3
lazylifo,ipc2014,ff1,lazy,LIFO,h,cavediving,7
lazylifo,ipc2014,ff1,lazy,LIFO,h,transport,0
lazylifo,ipc2014,ff1,lazy,LIFO,h,thoughtful,7
lazylifo,ipc2014,ff1,lazy,LIFO,h,maintenance,4
lazylifo,ipc2014,ff1,lazy,LIFO,h,openstacks,0
lazylifo,ipc2014,ff1,lazy,LIFO,h,hiking,13
lazylifo,ipc2014,ff1,lazy,LIFO,h,visitall,0
lazylifo,ipc2014,ff1,lazy,LIFO,h,ged,20
lazylifo,ipc2014,ff1,lazy,LIFO,h,barman,0
lazylifo,ipc2014,ff1,lazy,LIFO,h,citycar,0
lazylifo,ipc2014,ff1,lazy,LIFO,h,parking,8
lazylifo,ipc2014,ff1,lazy,LIFO,h,childsnack,0
lazylifo,ipc2014,ff1,lazy,LIFO,h,floortile,2
lazylifo,ipc2014,ff1,lazy,LIFO,h,tetris,3
lazylifo,ipc2014,ff1,lazy,LIFO,h,cavediving,7
lazylifo,ipc2014,ff1,lazy,LIFO,h,transport,0
lazylifo,ipc2014,ff1,lazy,LIFO,h,thoughtful,7
lazylifo,ipc2014,ff1,lazy,LIFO,h,maintenance,4
lazylifo,ipc2014,ff1,lazy,LIFO,h,openstacks,0
lazylifo,ipc2014,ff1,lazy,LIFO,h,hiking,13
lazylifo,ipc2014,ff1,lazy,LIFO,h,visitall,0
lazylifo,ipc2014,ff1,lazy,LIFO,h,ged,20
lazylifo,ipc2014,cg1,lazy,LIFO,h,barman,0
lazylifo,ipc2014,cg1,lazy,LIFO,h,citycar,0
lazylifo,ipc2014,cg1,lazy,LIFO,h,parking,0
lazylifo,ipc2014,cg1,lazy,LIFO,h,childsnack,1
lazylifo,ipc2014,cg1,lazy,LIFO,h,floortile,0
lazylifo,ipc2014,cg1,lazy,LIFO,h,tetris,9
lazylifo,ipc2014,cg1,lazy,LIFO,h,cavediving,7
lazylifo,ipc2014,cg1,lazy,LIFO,h,transport,4
lazylifo,ipc2014,cg1,lazy,LIFO,h,thoughtful,6
